## $Header: inputFile.txt $
## Version: 1.0
## Date: 10-Dec-2024
##
## +===========================================================================+
## |  Copyright (c) 2024 Oracle Corporation, Redwood Shores, California, USA   |
## |                        All rights reserved                                |
## |                       Applications  Division                              |
## +===========================================================================+
## |
## | FILENAME
## |   inputFile.txt
## |
## | DESCRIPTION
## |   This is the input file for the initParamValidation.pl script. This file must not be altered manually. 
#
## | VERSION HISTORY:
## |       VER                  CHANGED BY                    DATE                  COMMENT
## | ==============================================================================================================
## |       1.0              debasmis adssriva               10 Dec 2024         parameters for  db23 and db19
## |                        
EBSVER|DBVER|PLATFORM|PARAMETER|VALUE|MANDATORY|TYPE|SCOPE|ACTION
12.2|db23|GEN|core_dump_dest|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|db_block_buffers|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|db_cache_size|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|db_file_multiblock_read_count|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|drs_start|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|enqueue_resources|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|event|10932 trace name context level 32768|Y|REMOVE|NA|NA
12.2|db23|GEN|event|10933 trace name context level 512|Y|REMOVE|NA|NA
12.2|db23|GEN|event|10943 trace name context forever, level 2|Y|REMOVE|NA|NA
12.2|db23|GEN|event|10943 trace name context level 16384|Y|REMOVE|NA|NA
12.2|db23|GEN|event|10946 trace name context forever, level 8454144|Y|REMOVE|NA|NA
12.2|db23|GEN|event|38004 trace name context forever, level 1|Y|REMOVE|NA|NA
12.2|db23|GEN|exafusion_enabled|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|exclude_seed_cdb_view|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|global_context_pool_size|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|hash_area_size|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|instance_groups|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|java_pool_size|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|job_queue_interval|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|large_pool_size|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|max_enabled_roles|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|o7_dictionary_accessibility|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|olap_page_pool_size|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_adaptive_features|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_dynamic_sampling|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_features_enable|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_index_caching|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_index_cost_adj|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_max_permutations|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_mode|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|optimizer_percent_parallel|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|parallel_automatic_tuning|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|parallel_instance_group|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|parallel_degree_level|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|parallel_io_cap_enabled|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|parallel_server|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|parallel_server_instances|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|plsql_compiler_flags|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|plsql_native_library_dir|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|plsql_native_library_subdir_count|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|plsql_optimize_level|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|query_rewrite_enabled|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|rollback_segments|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|row_locking|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|sec_case_sensitive_logon|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|sort_area_size|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|standby_archive_dest|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|sql_trace|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|sql_version|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|timed_statistics|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|undo_retention|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|undo_suppress_errors|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|use_indirect_data_buffers|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|user_dump_dest|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|utl_file_dir|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|DBFIPS_140|NA|Y|REMOVE|NA|NA
12.2|db23|GEN|FIPS_140|NA|Y|REMOVE|NA|NA
12.2|db19|GEN|db_name|prodr12|Y|OTHER|CDB|Specifies a database identifier
12.2|db19|GEN|control_files|('/disk1/prodr12_DB/cntrlprodr12_1.dbf')|Y|OTHER|CDB|specifies a filesystem path where a copy of critical database control files will reside.
